Date,Open,High,Low,Close,Volume,Adj Close
2008-11-03,60.17,81.48,44.25,55.28,000,55.28
2008-10-01,39.39,89.53,39.39,59.89,000,59.89
2008-09-02,20.65,48.40,20.47,39.39,000,39.39
2008-08-01,22.66,23.86,18.64,20.65,000,20.65
2008-07-01,25.14,30.81,19.65,22.94,000,22.94
2008-06-02,17.83,24.56,17.83,23.95,000,23.95
2008-05-01,20.78,20.95,15.82,17.83,000,17.83
2008-04-01,25.61,25.61,19.21,20.79,000,20.79
2008-03-03,27.54,35.60,23.30,25.61,000,25.61
2008-02-01,25.66,29.70,21.64,26.54,000,26.54
2008-01-02,22.58,37.57,22.11,26.20,000,26.20
2007-12-03,23.59,24.86,18.28,22.50,000,22.50
2007-11-01,19.89,31.09,17.38,22.87,000,22.87
2007-10-01,18.44,24.15,16.08,18.53,000,18.53
2007-09-04,21.93,28.82,16.91,18.00,000,18.00
2007-08-01,23.71,37.50,19.33,23.38,000,23.38
2007-07-02,16.48,24.17,14.67,23.52,000,23.52
2007-06-01,12.77,18.98,12.43,16.23,000,16.23
2007-05-01,14.10,14.60,12.08,13.05,000,13.05
2007-04-02,14.91,15.46,11.46,14.22,000,14.22
2007-03-01,17.76,21.25,11.21,14.64,90300,14.64
2007-02-01,10.32,19.01,9.70,15.42,000,15.42
2007-01-03,12.16,12.83,9.87,10.42,000,10.42
2006-12-01,11.07,12.68,9.39,11.56,000,11.56
2006-11-01,10.93,12.55,9.81,10.91,000,10.91
2006-10-02,12.45,12.91,10.44,11.10,000,11.10
2006-09-01,12.14,14.49,10.74,11.98,000,11.98
2006-08-01,15.49,16.15,11.57,12.31,000,12.31
2006-07-03,13.29,19.58,12.77,14.95,000,14.95
2006-06-01,16.47,23.81,12.74,13.08,000,13.08
2006-05-01,11.83,19.87,11.18,16.44,000,16.44
2006-04-03,11.47,13.09,11.02,11.59,000,11.59
2006-03-01,12.05,13.34,10.53,11.39,000,11.39
2006-02-01,13.03,13.73,11.13,12.34,000,12.34
