1.01	NaN	44.13	90.40	59.33	382.57	16.68	2.40	354.24	NaN
1.04	NaN	52.17	87.60	62.10	400.86	17.03	2.38	360.25	NaN
1.12	NaN	62.57	80.37	62.33	419.69	15.43	2.48	351.67	NaN
1.15	NaN	64.67	83.30	62.87	434.46	15.93	2.47	358.35	NaN
1.13	NaN	66.97	87.60	66.47	446.91	17.39	2.39	374.51	NaN
1.21	NaN	62.40	89.07	62.47	377.92	13.78	3.08	296.05	NaN
1.23	NaN	55.40	93.17	60.27	360.81	13.00	3.24	277.62	NaN
1.22	NaN	56.00	106.13	65.47	378.87	13.16	3.08	297.05	NaN
1.11	NaN	49.43	112.70	67.43	373.03	13.17	2.98	319.73	NaN
1.17	NaN	46.27	108.67	63.27	418.28	12.93	2.85	340.54	NaN
1.13	NaN	59.27	113.70	72.70	428.15	13.12	2.72	360.43	NaN
1.07	NaN	63.70	113.13	76.53	434.55	13.14	2.68	381.19	NaN
1.08	NaN	61.13	106.17	72.83	479.11	13.27	2.64	416.92	NaN
1.13	NaN	65.37	98.53	70.73	501.76	12.66	2.72	415.26	NaN
1.21	NaN	67.53	91.13	66.90	555.89	12.75	2.69	430.85	NaN
1.22	NaN	58.00	93.80	63.03	579.37	13.39	2.70	441.69	NaN
1.30	NaN	87.90	89.93	73.13	563.89	12.39	3.07	408.52	NaN
1.37	NaN	105.87	81.63	75.90	518.48	10.95	3.51	356.99	NaN
1.34	NaN	67.37	79.90	59.73	522.98	11.13	3.41	371.27	NaN
1.19	NaN	64.77	85.57	64.57	510.23	13.64	3.13	407.34	NaN
1.18	NaN	68.33	83.40	65.87	493.10	13.04	3.29	397.42	NaN
1.25	NaN	69.93	77.77	62.40	507.53	12.87	3.40	383.57	NaN
1.26	NaN	61.23	77.53	58.13	534.87	13.84	3.24	402.75	NaN
1.27	NaN	69.03	78.30	61.63	544.88	13.80	3.22	408.29	NaN
1.39	NaN	70.47	73.17	57.47	533.11	11.84	3.62	366.76	NaN
1.27	NaN	66.93	74.90	59.23	481.22	12.66	3.65	365.81	NaN
1.19	110.92	63.47	76.00	59.80	494.89	14.97	3.32	404.08	NaN
1.21	108.77	63.97	74.90	59.00	521.16	15.46	3.15	421.58	NaN
1.15	104.40	57.47	79.87	59.17	540.35	16.72	2.78	460.95	NaN
1.14	103.98	53.60	80.70	57.67	579.10	18.17	2.56	500.83	NaN
1.13	104.17	48.50	87.63	57.77	608.13	17.85	2.47	534.30	NaN
1.16	106.09	56.60	90.90	62.00	620.23	17.31	2.54	525.41	NaN
1.23	108.80	60.43	96.47	64.10	634.33	16.17	2.64	509.80	NaN
1.24	108.19	58.63	100.30	64.40	618.14	15.24	2.69	493.48	NaN
1.27	109.22	60.37	101.27	65.17	623.77	14.04	2.77	487.89	10.44
1.33	110.40	63.73	96.00	63.57	670.55	13.46	2.80	503.19	10.38
1.31	111.20	57.87	94.63	61.27	695.02	13.99	2.79	525.14	10.41
1.32	112.14	59.50	94.23	61.63	680.83	13.68	2.91	511.88	10.46
1.29	111.22	62.87	93.40	63.47	718.85	14.59	2.73	550.35	10.61
1.25	109.18	67.40	94.93	66.83	747.50	15.11	2.64	585.96	10.65
1.27	110.19	72.50	89.27	66.67	752.86	14.80	2.79	580.69	10.61
1.26	108.23	81.50	87.60	70.43	795.64	15.95	2.58	623.20	10.62
1.18	103.52	74.60	98.70	73.73	844.29	18.04	2.26	713.72	10.67
1.14	100.25	65.93	105.97	72.90	886.88	18.27	2.17	776.04	10.62
1.09	96.39	66.03	105.50	74.40	954.82	19.88	1.95	877.49	10.51
1.12	99.57	67.13	99.23	71.80	965.64	18.91	2.02	864.26	10.48
1.09	97.80	50.73	96.40	63.03	1077.26	20.86	1.84	1000.25	10.30
1.10	99.00	48.57	91.67	59.97	1290.30	22.85	1.71	1181.44	10.20
1.12	101.21	46.67	85.23	56.17	1269.39	21.47	1.86	1143.99	10.01
1.18	103.41	42.77	78.10	50.23	1222.22	19.48	2.02	1039.88	9.87
1.12	100.00	41.87	78.57	51.17	1308.50	21.48	1.83	1166.22	9.63
