DATE,VALUE
2001-07-01,103.0505084180700
2001-10-01,102.4837472912150
2002-01-01,100.0500083347220
2002-04-01,100.9834972495420
2002-07-01,101.1835305884310
2002-10-01,100.6834472412070
2003-01-01,99.2832138689782
2003-04-01,99.8833138856476
2003-07-01,99.5499249874979
2003-10-01,100.1166861143520
2004-01-01,100.9501583597270
2004-04-01,101.2502083680610
2004-07-01,101.2168694782460
2004-10-01,101.6836139356560
2005-01-01,102.8838139689950
2005-04-01,102.3503917319550
2005-07-01,102.7504584097350
2005-10-01,102.7171195199200
2006-01-01,102.6171028504750
2006-04-01,103.5172528754790
2006-07-01,102.3837306217700
2006-10-01,103.5172528754790
2007-01-01,102.1836972828800
2007-04-01,102.6171028504750
2007-07-01,101.9169861643610
2007-10-01,100.5500916819470
